question,answer,text
"On the wall across from the Room of Requirement, there is a tapestry showing a wizard trying to teach trolls ballet. What's his name?",Barnabus the Barmy.,"<s>[INST] On the wall across from the Room of Requirement, there is a tapestry showing a wizard trying to teach trolls ballet. What's his name? [/INST] Barnabus the Barmy. </s>"
What is the name of the Hogwarts poltergeist?,Peeves,<s>[INST] What is the name of the Hogwarts poltergeist? [/INST] Peeves </s>
What did Professor Snape tell Harry could Detoxify people from most kinds of poisons?,Bezoar,<s>[INST] What did Professor Snape tell Harry could Detoxify people from most kinds of poisons? [/INST] Bezoar </s>
"If I wanted to use an Ageing Potion to make myself significantly older, what would I do?",Drink a Bigger Quantity,"<s>[INST] If I wanted to use an Ageing Potion to make myself significantly older, what would I do? [/INST] Drink a Bigger Quantity </s>"
Which plant produces stinking sap?,Mimbulus Mimbletonia,<s>[INST] Which plant produces stinking sap? [/INST] Mimbulus Mimbletonia </s>
Where is the entrance to St. Mungos located?,Muggle London,<s>[INST] Where is the entrance to St. Mungos located? [/INST] Muggle London </s>
What is the counter-charm to Colloportus?,Alohomora,<s>[INST] What is the counter-charm to Colloportus? [/INST] Alohomora </s>
What incantation marks the air with a burning trail?,Flagrate,<s>[INST] What incantation marks the air with a burning trail? [/INST] Flagrate </s>
Bowling dates to what ancient civilization?,Ancient Egypt,<s>[INST] Bowling dates to what ancient civilization? [/INST] Ancient Egypt </s>
What magazine does Xenophilius Lovegood publish?,The Quibbler,<s>[INST] What magazine does Xenophilius Lovegood publish? [/INST] The Quibbler </s>
Why do Ron Weasley and Hermione Granger stop speaking?,"Ron blames Hermione’s cat, Crookshanks, for the disappearance of his pet rat, Scabbers.","<s>[INST] Why do Ron Weasley and Hermione Granger stop speaking? [/INST] Ron blames Hermione’s cat, Crookshanks, for the disappearance of his pet rat, Scabbers. </s>"
A Nimbus is a type of what?,Broom,<s>[INST] A Nimbus is a type of what? [/INST] Broom </s>
When was the Werewolf Code of Conduct developed?,1637,<s>[INST] When was the Werewolf Code of Conduct developed? [/INST] 1637 </s>
What lives in the Forbidden Forest?,Intelligent wolves,<s>[INST] What lives in the Forbidden Forest? [/INST] Intelligent wolves </s>
At what age do children receive their Hogwarts letter?,11,<s>[INST] At what age do children receive their Hogwarts letter? [/INST] 11 </s>
No spell yet devised allows a wizard to what?,Fly unaided,<s>[INST] No spell yet devised allows a wizard to what? [/INST] Fly unaided </s>
Who founded St Mungo's Hospital?,Mungo Bonham,<s>[INST] Who founded St Mungo's Hospital? [/INST] Mungo Bonham </s>
Which of these is not a type of broom?,Phoenix,<s>[INST] Which of these is not a type of broom? [/INST] Phoenix </s>
What does Harry do with his winnings from the Triwizard Tournament?,Gives it to the Weasley Twins,<s>[INST] What does Harry do with his winnings from the Triwizard Tournament? [/INST] Gives it to the Weasley Twins </s>
What do Uncle Vernon and Aunt Petunia give Harry for Christmas?,A 50-pence piece,<s>[INST] What do Uncle Vernon and Aunt Petunia give Harry for Christmas? [/INST] A 50-pence piece </s>
What is the name of the place where students buy their school supplies?,Diagon Alley,<s>[INST] What is the name of the place where students buy their school supplies? [/INST] Diagon Alley </s>
Who created the International Statute of Wizarding Secrecy?,International Confederation of Wizards,<s>[INST] Who created the International Statute of Wizarding Secrecy? [/INST] International Confederation of Wizards </s>
Who is Dobby's original owner?,Lucius Malfoy,<s>[INST] Who is Dobby's original owner? [/INST] Lucius Malfoy </s>
"What is Fred Weasley’s chosen code name on Potterwatch, the secretive radio programme set up by the Order of the Phoenix?",Rapier.,"<s>[INST] What is Fred Weasley’s chosen code name on Potterwatch, the secretive radio programme set up by the Order of the Phoenix? [/INST] Rapier. </s>"
What is required in the manoeuvre Taking Passengers?,Complete cooperation.,<s>[INST] What is required in the manoeuvre Taking Passengers? [/INST] Complete cooperation. </s>
"When Hermione Granger is found Petrified, she is not alone. Who is with her?",Penelope Clearwater,"<s>[INST] When Hermione Granger is found Petrified, she is not alone. Who is with her? [/INST] Penelope Clearwater </s>"
Which of the following creatures eat Fairy Eggs?,Bowtruckles,<s>[INST] Which of the following creatures eat Fairy Eggs? [/INST] Bowtruckles </s>
Who is the Divination professor?,Professor Trelawney,<s>[INST] Who is the Divination professor? [/INST] Professor Trelawney </s>
"According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions.",Long hair,"<s>[INST] According to Madam Hooch, which of the following increases your chances of falling to your death? Maybe you should take these as suggestions. [/INST] Long hair </s>"
Which member of the Council became the first Minister of Magic?,Ulick Gamp,<s>[INST] Which member of the Council became the first Minister of Magic? [/INST] Ulick Gamp </s>
What does Cave Inimicum do?,Conceals presences,<s>[INST] What does Cave Inimicum do? [/INST] Conceals presences </s>
What is the use of a draught of peace?,Calming the drinker,<s>[INST] What is the use of a draught of peace? [/INST] Calming the drinker </s>
"When Riding Facing Backwards, how does steering work?",Turn to the opposite direction.,"<s>[INST] When Riding Facing Backwards, how does steering work? [/INST] Turn to the opposite direction. </s>"
Which insect is Ron afraid of?,Spiders,<s>[INST] Which insect is Ron afraid of? [/INST] Spiders </s>
"Which of these spells is most similar to Flipendo, the Knockback Jinx?",Depulso,"<s>[INST] Which of these spells is most similar to Flipendo, the Knockback Jinx? [/INST] Depulso </s>"
Which condition could be remedied by a Calming Draught?,Shock,<s>[INST] Which condition could be remedied by a Calming Draught? [/INST] Shock </s>
What is Godric Gryffindor's signature item?,Sword,<s>[INST] What is Godric Gryffindor's signature item? [/INST] Sword </s>
What does Colovaria do?,Change Something's Colour,<s>[INST] What does Colovaria do? [/INST] Change Something's Colour </s>
Who wrote Fantastic Beasts and Where to Find Them?,Newt Scamander,<s>[INST] Who wrote Fantastic Beasts and Where to Find Them? [/INST] Newt Scamander </s>
No spell yet devised allows a wizard to what?,Fly unaided,<s>[INST] No spell yet devised allows a wizard to what? [/INST] Fly unaided </s>
When does Quidditch season begin?,A September,<s>[INST] When does Quidditch season begin? [/INST] A September </s>
How many possible Quidditch fouls are there?,700,<s>[INST] How many possible Quidditch fouls are there? [/INST] 700 </s>
What office does Arthur Weasley work for in the Ministry of Magic?,The Misuse of Muggle Artefacts Office,<s>[INST] What office does Arthur Weasley work for in the Ministry of Magic? [/INST] The Misuse of Muggle Artefacts Office </s>
Where was the first meeting of Dumbledore's Army?,Hog's Head Inn,<s>[INST] Where was the first meeting of Dumbledore's Army? [/INST] Hog's Head Inn </s>
What do Flobberworms eat?,Lettuce,<s>[INST] What do Flobberworms eat? [/INST] Lettuce </s>
What is Snape's birthday?,"Jan. 9, 1960","<s>[INST] What is Snape's birthday? [/INST] Jan. 9, 1960 </s>"
How is Quodpot different from Quidditch?,The ball explodes,<s>[INST] How is Quodpot different from Quidditch? [/INST] The ball explodes </s>
Which spell is one of the Unforgivable Curses?,Crucio,<s>[INST] Which spell is one of the Unforgivable Curses? [/INST] Crucio </s>
Who is the Half-Blood Prince?,Severus Snape,<s>[INST] Who is the Half-Blood Prince? [/INST] Severus Snape </s>
Which Quidditch players score goals?,The Chasers,<s>[INST] Which Quidditch players score goals? [/INST] The Chasers </s>
What is at the base of the Whomping Willow?,A tunnel that leads to the Shrieking Shack.,<s>[INST] What is at the base of the Whomping Willow? [/INST] A tunnel that leads to the Shrieking Shack. </s>
A Firebolt is a type of what?,Broom,<s>[INST] A Firebolt is a type of what? [/INST] Broom </s>
What is the name of the spell used to conjure the Patronus Charm?,Expecto Patronum,<s>[INST] What is the name of the spell used to conjure the Patronus Charm? [/INST] Expecto Patronum </s>
Why would you need to switch brooms midair?,Broom failure,<s>[INST] Why would you need to switch brooms midair? [/INST] Broom failure </s>
How old is Professor Snape?,About 30,<s>[INST] How old is Professor Snape? [/INST] About 30 </s>
"In the book, where do Hermione Granger’s parents move to?",Australia,"<s>[INST] In the book, where do Hermione Granger’s parents move to? [/INST] Australia </s>"
Who is the Headmaster of Hogwarts when Harry arrives?,Albus Dumbledore.,<s>[INST] Who is the Headmaster of Hogwarts when Harry arrives? [/INST] Albus Dumbledore. </s>
What makes the Manticore's tail so dangerous?,Its deadly sting,<s>[INST] What makes the Manticore's tail so dangerous? [/INST] Its deadly sting </s>
Harry uses Parseltongue to speak to which creatures?,Snake,<s>[INST] Harry uses Parseltongue to speak to which creatures? [/INST] Snake </s>
Who guards the entrance to the Gryffindor common room?,The Fat Lady,<s>[INST] Who guards the entrance to the Gryffindor common room? [/INST] The Fat Lady </s>
Which of the following Charms did we learn in the first year?,Knockback Jinx,<s>[INST] Which of the following Charms did we learn in the first year? [/INST] Knockback Jinx </s>
Which of these factors does not affect Transfiguration?,Hue,<s>[INST] Which of these factors does not affect Transfiguration? [/INST] Hue </s>
Why shouldn't you drop Puffapod beans?,They'll bloom,<s>[INST] Why shouldn't you drop Puffapod beans? [/INST] They'll bloom </s>
Which of the following is another dive commonly used by Seekers?,Spiral Dive,<s>[INST] Which of the following is another dive commonly used by Seekers? [/INST] Spiral Dive </s>
What is Bubotuber pus used for?,Clearing up acne,<s>[INST] What is Bubotuber pus used for? [/INST] Clearing up acne </s>
